image_path,boredom,engagement,confusion,frustration,split
Train\110005\1100051007\1100051007.jpg,2,1,2,1,train
Train\110005\1100051008\1100051008.jpg,2,2,2,0,train
Train\110005\1100051009\1100051009.jpg,2,2,0,0,train
Train\110005\1100051011\1100051011.jpg,1,2,0,0,train
Train\110005\1100051012\1100051012.jpg,1,2,0,0,train
Train\110005\1100051013\1100051013.jpg,2,2,0,0,train
Train\110005\1100051014\1100051014.jpg,1,2,0,0,train
Train\110005\1100051016\1100051016.jpg,2,1,2,0,train
Train\110005\1100051017\1100051017.jpg,2,2,1,2,train
Train\110005\1100051019\1100051019.jpg,2,3,1,0,train
Train\110005\1100051020\1100051020.jpg,1,2,1,0,train
Train\110005\1100051021\1100051021.jpg,2,2,2,0,train
Train\110005\1100051022\1100051022.jpg,2,2,0,0,train
Train\110005\1100051023\1100051023.jpg,1,2,0,0,train
Train\110005\1100051024\1100051024.jpg,2,2,1,1,train
Train\110005\1100051025\1100051025.jpg,2,2,2,0,train
Train\110005\1100051026\1100051026.jpg,2,2,1,0,train
Train\110005\1100051028\1100051028.jpg,2,2,0,0,train
Train\110005\1100051029\1100051029.jpg,2,2,0,0,train
Train\110005\1100051030\1100051030.jpg,2,1,0,0,train
Train\110005\1100051031\1100051031.jpg,2,1,0,0,train
Train\110005\1100051032\1100051032.jpg,1,3,1,0,train
Train\110005\1100051033\1100051033.jpg,2,2,0,0,train
Train\110005\1100051034\1100051034.jpg,2,2,2,0,train
Train\110005\1100051035\1100051035.jpg,2,2,1,0,train
Train\110005\1100051036\1100051036.jpg,2,2,2,1,train
Train\110005\1100051037\1100051037.jpg,2,2,0,2,train
Train\110005\1100051039\1100051039.jpg,2,2,2,3,train
Train\110005\1100051041\1100051041.jpg,1,3,0,0,train
Train\110005\1100051042\1100051042.jpg,2,2,2,0,train
Train\110005\1100051044\1100051044.jpg,0,2,0,0,train
Train\110005\1100051045\1100051045.jpg,1,3,1,0,train
Train\110005\1100051046\1100051046.jpg,0,2,0,0,train
Train\110005\1100051048\1100051048.jpg,2,2,0,0,train
Train\110005\1100051049\1100051049.jpg,2,2,0,0,train
Train\110005\1100051050\1100051050.jpg,0,3,0,0,train
Train\110005\1100051051\1100051051.jpg,1,2,0,0,train
Train\110005\1100051052\1100051052.jpg,1,2,1,1,train
Train\110005\1100051053\1100051053.jpg,2,1,0,0,train
Train\110005\1100051054\1100051054.jpg,2,2,0,0,train
Train\110005\1100051055\1100051055.jpg,0,2,0,1,train
Train\110005\1100051056\1100051056.jpg,1,2,1,1,train
Train\110005\1100051057\1100051057.jpg,2,3,2,0,train
Train\110005\1100051059\1100051059.jpg,0,3,1,0,train
Train\110005\1100051061\1100051061.jpg,2,2,0,0,train
Train\110005\1100051062\1100051062.jpg,2,3,2,0,train
Train\110005\1100051064\1100051064.jpg,2,3,0,0,train
Train\110005\1100051065\1100051065.jpg,2,2,0,0,train
Train\110005\1100051066\1100051066.jpg,3,3,2,0,train
Train\110005\1100051067\1100051067.jpg,2,3,2,1,train
Train\110005\1100051068\1100051068.jpg,1,3,1,0,train
Train\110005\1100051071\1100051071.jpg,0,3,0,0,train
Train\110005\1100051076\1100051076.jpg,2,2,0,0,train
Train\110005\1100051078\1100051078.jpg,0,2,0,1,train
Train\110005\1100051079\1100051079.jpg,0,3,0,0,train
Train\110005\1100052001\1100052001.jpg,2,2,0,1,train
Train\110005\1100052002\1100052002.jpg,1,2,1,0,train
Train\110005\1100052006\1100052006.jpg,2,2,0,0,train
Train\110005\1100052007\1100052007.jpg,1,2,1,0,train
Train\110005\1100052008\1100052008.jpg,0,3,0,0,train
Train\110005\1100052009\1100052009.jpg,0,2,0,0,train
Train\110005\1100052014\1100052014.jpg,3,1,0,0,train
Train\110005\1100052023\1100052023.jpg,1,2,1,1,train
Train\110005\1100052024\1100052024.jpg,1,2,0,0,train
Train\110005\1100052026\1100052026.jpg,1,2,0,0,train
Train\110005\1100052027\1100052027.jpg,2,2,0,0,train
Train\110005\1100052028\1100052028.jpg,2,3,0,0,train
Train\110005\1100052030\1100052030.jpg,2,2,1,0,train
Train\110005\1100052031\1100052031.jpg,1,2,0,0,train
Train\110005\1100052032\1100052032.jpg,1,2,0,1,train
Train\110005\1100052033\1100052033.jpg,1,2,0,0,train
Train\110005\1100052035\1100052035.jpg,0,2,0,0,train
Train\110005\1100052036\1100052036.jpg,1,2,0,1,train
Train\110005\1100052037\1100052037.jpg,2,2,0,0,train
Train\110005\1100052038\1100052038.jpg,2,2,0,0,train
Train\110005\1100052039\1100052039.jpg,1,2,0,0,train
Train\110005\1100052040\1100052040.jpg,2,3,1,0,train
Train\110005\1100052041\1100052041.jpg,2,2,0,0,train
Train\110005\1100052047\1100052047.jpg,1,2,0,0,train
Train\110005\1100052048\1100052048.jpg,2,2,0,0,train
Train\110005\1100052049\1100052049.jpg,0,2,0,0,train
Train\110005\1100052051\1100052051.jpg,2,2,2,3,train
Train\110005\1100052055\1100052055.jpg,1,2,0,0,train
Train\110005\1100052057\1100052057.jpg,3,2,0,0,train
Train\110005\1100052060\1100052060.jpg,0,3,0,0,train
Train\110005\1100052061\1100052061.jpg,1,2,1,1,train
Train\110005\1100052062\1100052062.jpg,3,2,0,1,train
Train\110005\1100052065\1100052065.jpg,2,3,0,0,train
Train\110005\1100052068\1100052068.jpg,3,2,2,0,train
Train\110005\1100052070\1100052070.jpg,1,2,0,1,train
Train\110006\1100061009\1100061009.jpg,0,3,0,0,train
Train\110006\1100061010\1100061010.jpg,1,3,0,0,train
Train\110006\1100061011\1100061011.jpg,0,3,0,0,train
Train\110006\1100061012\1100061012.jpg,0,2,0,0,train
Train\110006\1100061013\1100061013.jpg,1,3,0,0,train
Train\110006\1100061015\1100061015.jpg,3,2,0,0,train
Train\110006\1100061016\1100061016.jpg,0,2,0,0,train
Train\110006\1100061018\1100061018.jpg,2,2,0,0,train
Train\110006\1100061019\1100061019.jpg,0,2,0,0,train
Train\110006\1100061022\1100061022.jpg,0,3,0,0,train
Train\110006\1100061023\1100061023.jpg,0,2,0,0,train
Train\110006\1100061025\1100061025.jpg,2,2,0,0,train
Train\110006\1100061027\1100061027.jpg,0,3,0,0,train
Train\110006\1100061028\1100061028.jpg,1,2,0,0,train
Train\110006\1100061030\1100061030.jpg,0,2,0,0,train
Train\110006\1100061031\1100061031.jpg,0,2,0,0,train
Train\110006\1100061032\1100061032.jpg,0,2,0,0,train
Train\110006\1100061033\1100061033.jpg,0,3,0,0,train
Train\110006\1100061034\1100061034.jpg,0,2,0,0,train
Train\110006\1100061035\1100061035.jpg,0,2,0,0,train
Train\110006\1100061036\1100061036.jpg,1,3,0,0,train
Train\110006\1100061038\1100061038.jpg,0,3,0,0,train
Train\110006\1100061039\1100061039.jpg,0,2,0,0,train
Train\110006\1100061040\1100061040.jpg,0,3,0,0,train
Train\110006\1100061042\1100061042.jpg,0,3,0,0,train
Train\110006\1100061043\1100061043.jpg,0,3,0,0,train
Train\110006\1100061044\1100061044.jpg,0,2,0,0,train
Train\110006\1100061046\1100061046.jpg,0,3,0,0,train
Train\110006\1100061047\1100061047.jpg,0,3,0,0,train
Train\110006\1100061048\1100061048.jpg,0,3,0,0,train
Train\110006\1100061049\1100061049.jpg,0,2,0,0,train
Train\110006\1100061050\1100061050.jpg,2,2,0,0,train
Train\110006\1100061051\1100061051.jpg,0,3,0,0,train
Train\110006\1100061053\1100061053.jpg,2,2,0,1,train
Train\110006\1100061057\1100061057.jpg,1,2,0,0,train
Train\110006\1100061058\1100061058.jpg,0,2,0,0,train
Train\110006\1100061061\1100061061.jpg,0,3,0,0,train
Train\110006\1100061063\1100061063.jpg,0,3,1,0,train
Train\110006\1100061064\1100061064.jpg,0,3,0,0,train
Train\110006\1100061067\1100061067.jpg,0,3,0,0,train
Train\110006\1100061068\1100061068.jpg,0,3,0,0,train
Train\110006\1100061069\1100061069.jpg,0,3,0,0,train
Train\110006\1100061073\1100061073.jpg,0,2,0,0,train
Train\110006\1100061074\1100061074.jpg,0,2,0,0,train
Train\110006\1100061077\1100061077.jpg,0,2,0,0,train
Train\110006\1100061078\1100061078.jpg,0,2,0,0,train
Train\110006\1100062004\1100062004.jpg,1,3,0,0,train
Train\110006\1100062005\1100062005.jpg,0,3,2,2,train
Train\110006\1100062007\1100062007.jpg,0,3,1,0,train
Train\110006\1100062008\1100062008.jpg,2,1,1,2,train
Train\110006\1100062009\1100062009.jpg,0,3,0,0,train
Train\110006\1100062016\1100062016.jpg,1,2,0,0,train
Train\110006\1100062017\1100062017.jpg,0,3,0,0,train
Train\110006\1100062024\1100062024.jpg,2,2,0,0,train
Train\110006\1100062028\1100062028.jpg,2,2,1,0,train
Train\110006\1100062029\1100062029.jpg,1,2,1,0,train
Train\110006\1100062036\1100062036.jpg,3,2,0,0,train
Train\110006\1100062037\1100062037.jpg,2,2,0,0,train
Train\110006\1100062044\1100062044.jpg,2,2,0,0,train
Train\110006\1100062045\1100062045.jpg,2,1,1,0,train
Train\110006\1100062046\1100062046.jpg,2,2,0,0,train
Train\110006\1100062049\1100062049.jpg,2,1,2,0,train
Train\110006\1100062051\1100062051.jpg,3,2,0,0,train
Train\110006\1100062053\1100062053.jpg,0,3,0,0,train
Train\110006\1100062054\1100062054.jpg,2,2,0,1,train
Train\110006\1100062059\1100062059.jpg,1,2,0,1,train
Train\110006\1100062060\1100062060.jpg,2,2,0,0,train
Train\110006\1100062061\1100062061.jpg,0,2,0,0,train
Train\110006\1100062062\1100062062.jpg,1,2,0,0,train
Train\110006\1100062063\1100062063.jpg,2,2,0,0,train
Train\110006\1100062064\1100062064.jpg,2,2,0,0,train
Train\110006\1100062065\1100062065.jpg,0,2,0,0,train
Train\110006\1100062066\1100062066.jpg,3,3,0,0,train
Train\110006\1100062067\1100062067.jpg,0,3,0,0,train
Train\110006\1100062068\1100062068.jpg,2,2,1,0,train
Train\110006\1100062069\1100062069.jpg,1,2,0,0,train
Train\110006\1100062070\1100062070.jpg,2,2,0,0,train
Train\110006\1100062071\1100062071.jpg,1,3,1,1,train
Train\110006\1100062072\1100062072.jpg,2,3,1,2,train
Train\110007\1100071005\1100071005.jpg,2,2,0,0,train
Train\110007\1100071006\1100071006.jpg,2,2,0,0,train
Train\110007\1100071007\1100071007.jpg,2,2,0,0,train
Train\110007\1100071008\1100071008.jpg,2,3,0,0,train
Train\110007\1100071009\1100071009.jpg,2,2,0,0,train
Train\110007\1100071010\1100071010.jpg,2,2,0,0,train
Train\110007\1100071011\1100071011.jpg,2,2,0,0,train
Train\110007\1100071012\1100071012.jpg,0,3,0,0,train
Train\110007\1100071013\1100071013.jpg,0,2,0,0,train
Train\110007\1100071014\1100071014.jpg,0,3,0,0,train
Train\110007\1100071015\1100071015.jpg,2,2,2,2,train
Train\110007\1100071016\1100071016.jpg,1,3,0,0,train
Train\110007\1100071017\1100071017.jpg,1,2,0,1,train
Train\110007\1100071018\1100071018.jpg,0,2,0,0,train
Train\110007\1100071019\1100071019.jpg,1,2,0,0,train
Train\110007\1100071020\1100071020.jpg,2,2,0,0,train
Train\110007\1100071021\1100071021.jpg,2,3,0,0,train
Train\110007\1100071022\1100071022.jpg,2,2,0,0,train
Train\110007\1100071023\1100071023.jpg,2,2,0,0,train
Train\110007\1100071024\1100071024.jpg,2,2,0,0,train
Train\110007\1100071026\1100071026.jpg,2,2,0,1,train
Train\110007\1100071027\1100071027.jpg,2,2,0,0,train
Train\110007\1100071028\1100071028.jpg,2,2,0,0,train
Train\110007\1100071029\1100071029.jpg,2,2,0,0,train
Train\110007\1100071030\1100071030.jpg,0,3,0,0,train
Train\110007\1100071031\1100071031.jpg,3,3,0,1,train
Train\110007\1100071032\1100071032.jpg,2,2,1,0,train
Train\110007\1100071033\1100071033.jpg,2,2,0,0,train
Train\110007\1100071034\1100071034.jpg,1,3,1,0,train
Train\110007\1100071035\1100071035.jpg,1,2,0,0,train
Train\110007\1100071036\1100071036.jpg,0,2,0,0,train
Train\110007\1100071037\1100071037.jpg,2,2,0,0,train
Train\110007\1100071040\1100071040.jpg,2,3,0,0,train
Train\110007\1100071041\1100071041.jpg,2,2,0,0,train
Train\110007\1100071042\1100071042.jpg,2,2,1,0,train
Train\110007\1100071043\1100071043.jpg,2,3,2,1,train
Train\110007\1100071044\1100071044.jpg,2,2,1,0,train
Train\110007\1100071045\1100071045.jpg,2,2,0,0,train
Train\110007\1100071046\1100071046.jpg,2,2,0,0,train
Train\110007\1100071047\1100071047.jpg,2,2,0,0,train
Train\110007\1100071049\1100071049.jpg,0,2,0,0,train
Train\110007\1100071050\1100071050.jpg,2,3,0,0,train
Train\110007\1100071052\1100071052.jpg,2,2,0,0,train
Train\110007\1100071054\1100071054.jpg,0,2,0,0,train
Train\110007\1100071055\1100071055.jpg,1,3,1,1,train
Train\110007\1100071056\1100071056.jpg,1,2,1,1,train
Train\110007\1100071057\1100071057.jpg,2,3,0,0,train
Train\110007\1100071058\1100071058.jpg,2,2,0,0,train
Train\110007\1100071059\1100071059.jpg,1,2,1,1,train
Train\110007\1100071060\1100071060.jpg,0,2,1,0,train
Train\110007\1100071061\1100071061.jpg,2,3,0,0,train
Train\110007\1100071062\1100071062.jpg,2,2,0,0,train
Train\110007\1100071063\1100071063.jpg,0,3,0,0,train
Train\110007\1100071064\1100071064.jpg,0,3,0,0,train
Train\110007\1100071065\1100071065.jpg,2,2,0,0,train
Train\110007\1100071066\1100071066.jpg,2,2,0,0,train
Train\110007\1100071067\1100071067.jpg,0,3,1,0,train
Train\110007\1100071069\1100071069.jpg,0,2,1,0,train
Train\110007\1100071070\1100071070.jpg,0,3,0,0,train
Train\110007\1100071071\1100071071.jpg,2,2,0,0,train
Train\110007\1100071072\1100071072.jpg,2,2,0,0,train
Train\110007\1100071073\1100071073.jpg,0,2,0,0,train
Train\110007\1100071074\1100071074.jpg,2,2,0,0,train
Train\110007\1100071075\1100071075.jpg,2,2,0,0,train
Train\110007\1100071076\1100071076.jpg,2,2,0,0,train
Train\110007\1100071077\1100071077.jpg,0,3,1,0,train
Train\110007\1100071078\1100071078.jpg,1,3,0,0,train
Train\110007\1100071079\1100071079.jpg,0,3,0,0,train
Train\110007\1100071080\1100071080.jpg,0,3,0,0,train
Train\110007\1100071081\1100071081.jpg,0,3,0,0,train
Train\110007\1100072001\1100072001.jpg,2,2,0,0,train
Train\110007\1100072002\1100072002.jpg,0,3,0,0,train
Train\110007\1100072003\1100072003.jpg,0,3,0,0,train
Train\110007\1100072004\1100072004.jpg,2,2,0,0,train
Train\110007\1100072006\1100072006.jpg,0,2,0,0,train
Train\110007\1100072007\1100072007.jpg,0,2,0,0,train
Train\110007\1100072008\1100072008.jpg,2,2,0,0,train
Train\110007\1100072009\1100072009.jpg,1,3,0,0,train
Train\110007\1100072010\1100072010.jpg,2,2,0,0,train
Train\110007\1100072011\1100072011.jpg,2,3,0,0,train
Train\110007\1100072012\1100072012.jpg,0,3,0,0,train
Train\110007\1100072013\1100072013.jpg,0,2,0,0,train
Train\110007\1100072014\1100072014.jpg,0,2,0,0,train
Train\110007\1100072015\1100072015.jpg,2,2,0,1,train
Train\110007\1100072016\1100072016.jpg,2,2,0,0,train
Train\110007\1100072021\1100072021.jpg,2,2,0,0,train
Train\110007\1100072022\1100072022.jpg,0,2,0,0,train
Train\110007\1100072023\1100072023.jpg,0,3,0,0,train
Train\110007\1100072024\1100072024.jpg,0,2,0,0,train
Train\110007\1100072027\1100072027.jpg,1,2,0,0,train
Train\110007\1100072028\1100072028.jpg,2,2,0,0,train
Train\110007\1100072029\1100072029.jpg,0,2,0,0,train
Train\110007\1100072030\1100072030.jpg,2,2,0,0,train
Train\110007\1100072031\1100072031.jpg,2,2,0,0,train
Train\110007\1100072032\1100072032.jpg,2,3,0,0,train
Train\110007\1100072033\1100072033.jpg,1,3,0,0,train
Train\110007\1100072034\1100072034.jpg,2,2,0,0,train
Train\110007\1100072036\1100072036.jpg,2,2,0,0,train
Train\110007\1100072037\1100072037.jpg,2,2,0,0,train
Train\110007\1100072038\1100072038.jpg,1,2,1,1,train
Train\110007\1100072039\1100072039.jpg,1,2,1,1,train
Train\110007\1100072040\1100072040.jpg,1,2,0,0,train
Train\110007\1100072042\1100072042.jpg,0,2,0,0,train
Train\110007\1100072043\1100072043.jpg,2,3,1,0,train
